month,total_on_demand_cost,mom_on_demand_cost_delta,mom_on_demand_cost_pct,spike_flag
2025-12,88416.86483777974,18095.24038171371,0.25732113729851114,increase
2026-01,102221.01463956625,13804.149801786509,0.1561257552743276,increase
2026-03,111189.49939183463,14350.293364329162,0.14818681351283702,increase
2025-10,72763.79160641425,2469.034366595981,0.03512401868282433,increase
2025-09,70294.75723981827,238.21751427435083,0.00340036084008144,increase
2026-05,104152.751251087,-1850.8608800513757,-0.017460356707105884,decrease
2025-08,70056.53972554392,-1520.450537915778,-0.021242169198779193,decrease
2025-11,70321.62445606603,-2442.167150348221,-0.03356294520162062,decrease
2026-04,106003.61213113838,-5185.887260696254,-0.04664008102438755,decrease
2026-02,96839.20602750547,-5381.808612060777,-0.052648749682608464,decrease
