grouping,product_code,usage_rows,missing_pricing_rows,missing_pricing_share
overall,,23739607,19294842,0.8127700681818364
product_code,AWSCloudTrail,3921758,3921758,1.0
product_code,AmazonS3,2767126,2767126,1.0
product_code,AmazonEC2,4341182,2012766,0.46364469400269326
product_code,AWSELB,1145820,1145820,1.0
product_code,AmazonCloudWatch,1136626,1136626,1.0
product_code,AmazonCloudFront,1095120,1095120,1.0
product_code,AmazonSNS,948916,948916,1.0
product_code,AmazonVPC,829285,829285,1.0
product_code,AWSConfig,622118,622118,1.0
product_code,awskms,585342,585342,1.0
product_code,AWSSecretsManager,453949,453949,1.0
product_code,AmazonRDS,647691,382412,0.5904235198574629
product_code,AWSQueueService,363173,363173,1.0
product_code,AmazonECS,1063034,310056,0.29167082144127093
product_code,AmazonStates,279334,279334,1.0
product_code,AWSGlue,239582,239582,1.0
product_code,AWSLambda,771407,236417,0.3064750514319938
product_code,AmazonRoute53,203232,203232,1.0
product_code,AmazonECR,187429,187429,1.0
product_code,AmazonES,254879,170659,0.6695686973034264
product_code,AmazonEFS,153980,153980,1.0
product_code,AmazonApiGateway,142954,142954,1.0
product_code,AmazonKinesis,127842,127842,1.0
product_code,AmazonDynamoDB,371317,113863,0.3066463426129156
product_code,AmazonKinesisFirehose,105608,105608,1.0
product_code,AWSSecurityHub,92408,92408,1.0
product_code,AmazonElastiCache,310771,89343,0.2874882147948168
product_code,awswaf,77886,77886,1.0
product_code,ComputeSavingsPlans,69858,69858,1.0
product_code,AWSCodeArtifact,56256,56256,1.0
product_code,AWSDatabaseMigrationSvc,52750,52750,1.0
product_code,AWSEvents,46834,46834,1.0
product_code,AmazonLocationService,46646,46646,1.0
product_code,AmazonSES,41391,41391,1.0
product_code,AWSXRay,35607,35607,1.0
product_code,AmazonQuickSight,24063,24063,1.0
product_code,AmazonECRPublic,16320,16320,1.0
product_code,AWSNetworkFirewall,12785,12785,1.0
product_code,CodeBuild,12620,12620,1.0
product_code,PaymentCryptography,10615,10615,1.0
product_code,AmazonEKS,9888,9888,1.0
product_code,AWSServiceCatalog,9836,9836,1.0
product_code,AmazonInspectorV2,8362,8362,1.0
product_code,datapipeline,8080,8080,1.0
product_code,AWSCloudFormation,7912,7912,1.0
product_code,AmazonGlacier,6686,6686,1.0
product_code,AmazonTextract,6268,6268,1.0
product_code,AWSSystemsManager,5317,5317,1.0
product_code,AWSCodePipeline,4432,4432,1.0
product_code,AWSBackup,2296,2296,1.0
product_code,AWSAmplify,1532,1532,1.0
product_code,AmazonAthena,1525,1525,1.0
product_code,AWSCostExplorer,795,795,1.0
product_code,AWSMigrationHubRefactorSpaces,415,415,1.0
product_code,AmazonBedrockAgentCore,220,220,1.0
product_code,AmazonCognito,205,205,1.0
product_code,ACM,192,192,1.0
product_code,AWSCloudShell,69,69,1.0
product_code,AWSBudgets,49,49,1.0
product_code,AmazonBedrock,6,6,1.0
product_code,AmazonSWF,4,4,1.0
product_code,transcribe,2,2,1.0
product_code,AWSDeviceFarm,1,1,1.0
product_code,AWSIoT,1,1,1.0
