dataset,column_name,data_type
usage,timestamp,TIMESTAMP_NS
usage,billing_period,VARCHAR
usage,product_code,VARCHAR
usage,usage_type,VARCHAR
usage,instance_type,VARCHAR
usage,usage_amount,DOUBLE
usage,on_demand_cost,DOUBLE
usage,amortized_cost,DOUBLE
usage,price_list_key,VARCHAR
usage,commitment_key,VARCHAR
usage,account_id,VARCHAR
usage,commitment,VARCHAR
usage,cost_type,VARCHAR
usage,baseline_covered,DOUBLE
usage,baseline_max,DOUBLE
pricing,price_list_key,VARCHAR
pricing,instrument_type,VARCHAR
pricing,term_months,BIGINT
pricing,payment_option,VARCHAR
pricing,rate,DOUBLE
pricing,unit,VARCHAR
pricing,currency,VARCHAR
pricing,offering_class,VARCHAR
