commitment,commitment_key,cost_type,on_demand_cost,amortized_cost,savings_dollars,effective_savings_rate
arn:aws:savingsplans::417908285034:savingsplan/fa6ce1ab-3d42-0fda-9680-980310866d79,AWS#Compute,Usage with Discount,45022.229898744714,24653.165222678068,20369.064676066646,0.4524223860496649
arn:aws:savingsplans::417908285034:savingsplan/fa6ce1ab-3d42-0fda-9680-980310866d79,AWS#Compute-EC2#eu-west-3#r5a#RunInstances#shared,Usage with Discount,19363.418859719284,10195.455283309586,9167.963576409698,0.4734682259795215
arn:aws:savingsplans::559750980952:savingsplan/2697b084-02ab-5e6d-2b36-952c2292ddc0,AWS#Compute,Usage with Discount,18230.805353735457,10547.165927395614,7683.639426339843,0.421464618663458
arn:aws:rds:eu-central-1:559750980952:ri:ri-2025-11-12-21-07-48-094,AWS#AmazonRDS-Database Instance#eu-central-1#r6g#CreateDBInstance:0014#unknown-tenancy,Usage with Discount,22053.721541388906,14592.600000000375,7461.121541388531,0.3383157589700229
No Commitment,None,Spot Usage,12108.629809310174,5235.509150930694,6873.12065837948,0.5676216687287626
No Commitment,None,On Demand Usage,529128.9796028534,524286.44706808485,4842.532534768572,0.009151894380087093
arn:aws:savingsplans::559750980952:savingsplan/3a009073-162b-72c7-ca88-9c12cea624b7,AWS#Compute,Usage with Discount,9685.900620099917,5789.825386521778,3896.07523357814,0.40224191702866646
arn:aws:rds:eu-central-1:559750980952:ri:ri-2022-02-14-20-06-54-687,AWS#AmazonRDS-Database Instance#eu-central-1#m6g#CreateDBInstance:0014#unknown-tenancy,Usage with Discount,12862.28024319528,9199.008000000402,3663.2722431948787,0.284807372715496
arn:aws:rds:eu-central-1:559750980952:ri:ri-2025-09-08-19-50-58-286,AWS#AmazonRDS-Database Instance#eu-central-1#t4g#CreateDBInstance:0014#unknown-tenancy,Usage with Discount,10891.425868994645,7322.831999969682,3568.593869024963,0.32765166948286534
arn:aws:savingsplans::417908285034:savingsplan/fa6ce1ab-3d42-0fda-9680-980310866d79,AWS#Compute-EC2#eu-central-1#c5#RunInstances#shared,Usage with Discount,7726.792235718653,4401.08526828335,3325.7069674353024,0.4304123711339814
arn:aws:savingsplans::559750980952:savingsplan/3a009073-162b-72c7-ca88-9c12cea624b7,AWS#Compute-EC2#eu-west-3#m5a#RunInstances#shared,Usage with Discount,7207.326877537314,4113.498476685309,3093.828400852006,0.4292615630483437
arn:aws:savingsplans::417908285034:savingsplan/fa6ce1ab-3d42-0fda-9680-980310866d79,AWS#Compute-EC2#eu-central-1#c6i#RunInstances#shared,Usage with Discount,6238.010830000083,3236.6915987000984,3001.3192312999845,0.4811340206185478
arn:aws:savingsplans::559750980952:savingsplan/eda5f203-29b6-c471-c841-9ad0b0c71d19,AWS#Compute,Usage with Discount,6185.841256165737,3711.504753705741,2474.3365024599957,0.39999999999898167
arn:aws:savingsplans::559750980952:savingsplan/884c727d-42b6-7899-4ee8-ffc9e2c58bdf,AWS#Compute-EC2#eu-west-3#m5a#RunInstances#shared,Usage with Discount,5504.808683734085,3149.6814734776126,2355.1272102564726,0.42783089214626724
