billing_period,on_demand_cost,amortized_cost,savings_dollars,commitment_savings_dollars,spot_savings_vs_on_demand_dollars,waste_dollars,other_reconciliation,effective_savings_rate
2025-07,71576.99026345994,65068.046539474424,6508.943723985523,6871.156883999391,0.0,675.18,312.96683998613264,0.09093625898528929
2025-08,70056.53972554466,63366.01231675994,6690.5274087847265,7065.3328244698405,0.0,675.3422703635,300.536854678386,0.09550182516858116
2025-09,70294.75723982083,63399.40209178796,6895.355148032868,7204.876138040754,0.0,653.449435557,343.9284455491138,0.09809202590327408
2025-10,72763.79160641851,65631.44201316351,7132.349593255002,7454.9275548389505,0.0,675.18,352.60203841605164,0.09802058737997177
2025-11,70321.6244560713,62899.14531684971,7422.479139221576,7483.874457046153,0.0,375.09233731,313.6970194854226,0.10555045047143742
2025-12,88416.86483778174,78237.34811361451,10179.516724167226,9800.648495113946,722.1962055255965,810.718405956,467.3904294836832,0.11513093958764051
2026-01,102221.01463956907,89967.77084697256,12253.243792596495,11188.716439300568,1280.284054791694,874.4891915759999,658.7324900802332,0.11987010533794239
2026-02,96839.20602752325,85814.04333434846,11025.162693174807,9998.453120953198,1148.150755430595,705.768,584.3268167910142,0.11385019709931615
2026-03,111189.49939184549,98182.31541667109,13007.1839751744,11797.27782123555,1261.3853336574914,695.14886794,643.669688221358,0.11698212552729895
2026-04,106003.61213114897,91711.86249896258,14291.749632186404,13013.617695983574,1166.8875153967906,563.52987316,674.7742939660392,0.13482323238668958
2026-05,104152.7512510873,88530.83331258375,15621.917938503537,13947.449613749643,1294.2167935769878,298.00473078000005,678.2562619569064,0.149990449132187
