billing_period,eligible_on_demand_cost,eligible_discounted_cost,gross_savings_if_fully_covered,discounted_cost_change,discounted_cost_change_pct
2025-07,16060.114775059794,9543.273282925566,6516.8414921341255,,
2025-08,15995.604570507889,9492.474662255996,6503.129908252087,-50.79862066956957,-0.005322976631137233
2025-09,15795.357740144482,9397.831313040762,6397.526427103676,-94.64334921523368,-0.009970355737851433
2025-10,16598.293651647436,9877.863411886769,6720.430239760638,480.0320988460062,0.05107902907130257
2025-11,16452.55258757005,9804.512954519381,6648.039633050677,-73.35045736738721,-0.007425741206253056
2025-12,25360.732184344295,14716.773677273937,10643.958507070032,4912.260722754556,0.5010203714902792
2026-01,31019.777635361323,17869.67505661993,13150.102578741196,3152.9013793459926,0.2142386265146412
2026-02,28842.16743347171,16633.089906380344,12209.07752709102,-1236.5851502395853,-0.06920020349119249
2026-03,32849.98303564353,18890.342156137893,13959.64087950494,2257.2522497575483,0.13570853416067208
2026-04,31288.013397275274,18037.196450296782,13250.816946978277,-853.1457058411106,-0.04516306262689396
2026-05,31212.76901881423,18018.855860694664,13193.91315811912,-18.34058960211769,-0.0010168204162247507
