window_label,window_type,month_count,start_period,end_period,billing_periods,commitment_per_hour,total_savings_dollars,total_unused_commitment_waste,total_consumed_commitment,total_paid_commitment,total_eligible_on_demand_cost,total_covered_on_demand_cost,effective_savings_rate,coverage_rate,average_utilization
trailing_01m,trailing,1,2026-05,2026-05,2026-05,22.756017418960763,12743.547041428588,75.77232055107405,16854.70463915561,16930.476959706808,31212.76901881322,29674.024001135378,0.4082799265181352,0.9507014255367611,0.995524501717729
trailing_02m,trailing,2,2026-04,2026-05,"2026-04, 2026-05",22.990279891914184,25356.844858214954,189.60492599305724,33468.16483576901,33657.76976176236,62500.78241608777,59014.61461997739,0.4057044388565618,0.9442220135277372,0.9943666818290271
trailing_03m,trailing,3,2026-03,2026-05,"2026-03, 2026-04, 2026-05",23.142084386250154,38581.81693267285,299.8871399806566,50797.83518486037,51097.72232484034,95350.76545173008,89679.53925751314,0.40463038497791953,0.9405224890712816,0.9941311055300368
trailing_06m,trailing,6,2025-12,2026-05,"2025-12, 2026-01, 2026-02, 2026-03, 2026-04, 2026-05",22.751985936604616,70024.33870631155,3264.997259776177,96115.67731131134,99380.67457108897,180573.44270490448,169405.01327740075,0.3877886895070515,0.9381502104617049,0.9671465576796613
anchored_2025-07_to_2025-09,anchored,3,2025-07,2025-09,"2025-07, 2025-08, 2025-09",11.477720390905446,18110.936056256578,151.0547566068983,25191.751866513132,25342.806623119224,47851.07708571042,43453.74267937572,0.37848544190168243,0.9081037528484837,0.9940395411268975
anchored_2025-08_to_2025-10,anchored,3,2025-08,2025-10,"2025-08, 2025-09, 2025-10",11.675837719899349,18336.419735556196,183.93191918443776,25596.31776635358,25780.24968553776,48389.25596229792,44116.669421093895,0.37893576520049954,0.9117038182084681,0.9928653941902136
anchored_2025-09_to_2025-11,anchored,3,2025-09,2025-11,"2025-09, 2025-10, 2025-11",11.94536681453843,18491.235768143626,204.5369872929286,25884.144135659753,26088.68112295193,48846.2039793599,44579.916891095556,0.3785603437261399,0.9126587791741795,0.9921599337916615
anchored_2025-10_to_2025-12,anchored,3,2025-10,2025-12,"2025-10, 2025-11, 2025-12",12.459004117743008,19751.042582393155,378.48759805263893,27130.99349392447,27509.481091976562,58411.57842355951,47260.52367436972,0.3381357449232504,0.8090951306206755,0.9862415580727736
anchored_2025-11_to_2026-01,anchored,3,2025-11,2026-01,"2025-11, 2025-12, 2026-01",16.128759825016903,22596.8028810755,2499.643883958969,33112.657809677854,35612.301693637324,72833.06240727328,58209.10457471284,0.31025474055610947,0.7992126467127647,0.9298095386963975
anchored_2025-12_to_2026-02,anchored,3,2025-12,2026-02,"2025-12, 2026-01, 2026-02",22.250779427955326,31663.01267018386,2736.101372984805,45325.58219139695,48061.68356438351,85222.67725317476,79724.69623456732,0.3715327151260592,0.9354868774859731,0.9430710459961047
anchored_2026-01_to_2026-03,anchored,3,2026-01,2026-03,"2026-01, 2026-02, 2026-03",22.88539039943145,37173.077960144445,403.60396409579937,49028.839298675986,49432.443262771936,92711.92810447389,86605.52122291642,0.40095248497318897,0.9341356931475271,0.99183524144355
anchored_2026-02_to_2026-04,anchored,3,2026-02,2026-04,"2026-02, 2026-03, 2026-04",23.187250229279073,37412.5810748118,314.4052282259783,49213.56126151601,49527.9664897401,92980.16386638803,86940.54756455196,0.4023716405638247,0.9350440346554458,0.9936519657375956
anchored_2026-03_to_2026-05,anchored,3,2026-03,2026-05,"2026-03, 2026-04, 2026-05",23.142084386250154,38581.81693267285,299.8871399806566,50797.83518486037,51097.72232484034,95350.76545173008,89679.53925751314,0.40463038497791953,0.9405224890712816,0.9941311055300368
