commitment,commitment_kind,scope_label,covered_products,covered_product_count,covered_on_demand_cost,consumed_commitment,unused_commitment_waste,paid_commitment,utilization,waste_share,residual_on_demand_same_products,portfolio_coverage_share,sizing_assessment
arn:aws:savingsplans::417908285034:savingsplan/fa6ce1ab-3d42-0fda-9680-980310866d79,savings_plan,compute,"AmazonEC2, AmazonECS",2,26303.304809906702,13914.8159999795,0.0,13914.8159999795,1.0,0.0,60577.671838513204,0.28089426445196675,under_committed
arn:aws:savingsplans::559750980952:savingsplan/eda5f203-29b6-c471-c841-9ad0b0c71d19,savings_plan,compute,"AmazonEC2, AmazonECS",2,13709.8242335422,8071.319130002301,0.0,8071.319130002301,1.0,0.0,60577.671838513204,0.14640787618429474,under_committed
arn:aws:savingsplans::559750980952:savingsplan/884c727d-42b6-7899-4ee8-ffc9e2c58bdf,savings_plan,compute,"AmazonEC2, AmazonECS",2,10262.8217837501,5865.5740800004005,0.0,5865.5740800004005,1.0,0.0,60577.671838513204,0.10959717027886012,under_committed
arn:aws:rds:eu-central-1:559750980952:ri:ri-2025-11-12-21-07-48-094,reserved_instance,rds,AmazonRDS,1,6056.545541388499,4007.5200000000004,0.0,4007.5200000000004,1.0,0.0,42424.9680720351,0.06467814281372788,under_committed
arn:aws:savingsplans::559750980952:savingsplan/2697b084-02ab-5e6d-2b36-952c2292ddc0,savings_plan,compute,"AmazonEC2, AmazonECS",2,7285.4832556459,3969.9839999979004,0.0,3969.9839999979004,1.0,0.0,60577.671838513204,0.07780202811249076,under_committed
arn:aws:savingsplans::559750980952:savingsplan/3a009073-162b-72c7-ca88-9c12cea624b7,savings_plan,compute,"AmazonEC2, AmazonECS",2,6255.131933635699,3539.4019200064004,0.0,3539.4019200064004,1.0,0.0,60577.671838513204,0.06679885650288521,under_committed
arn:aws:savingsplans::559750980952:savingsplan/14ca4d5b-b9df-8430-2119-7e805f38ec7c,savings_plan,compute,"AWSLambda, AmazonEC2, AmazonECS",3,5409.1637033864,3246.9989199952006,0.0,3246.9989199952006,1.0,0.0,63953.950160550696,0.05776472084947825,under_committed
arn:aws:rds:eu-central-1:559750980952:ri:ri-2022-02-14-20-06-54-687,reserved_instance,rds,AmazonRDS,1,4174.691243195401,2985.216,0.0,2985.216,1.0,0.0,42424.9680720351,0.04458172973115457,under_committed
arn:aws:rds:eu-central-1:559750980952:ri:ri-2025-09-08-19-50-58-286,reserved_instance,rds,AmazonRDS,1,2991.9820754528,2011.0463999699996,0.0,2011.0463999699996,1.0,0.0,42424.9680720351,0.03195152131686695,under_committed
arn:aws:rds:eu-central-1:559750980952:ri:ri-2025-01-13-06-24-24-124,reserved_instance,rds,AmazonRDS,1,135.7954946895,89.87012683999998,1536.66531483,1626.53544167,0.05525248607416038,0.9447475139258396,42424.9680720351,0.0014501666567134823,over_committed
arn:aws:savingsplans::559750980952:savingsplan/bdfcc9b2-c4d1-da42-2a5e-dfc9da9d4512,savings_plan,compute,"AmazonEC2, AmazonECS",2,2852.3666586682,1594.1760000126,0.0,1594.1760000126,1.0,0.0,60577.671838513204,0.030460561527316313,under_committed
arn:aws:savingsplans::662505700522:savingsplan/ed57fe40-deab-c41e-ba1c-28fe6a8746ef,savings_plan,compute,AmazonEC2,1,2123.0055530213003,1545.6000000001998,0.0,1545.6000000001998,1.0,0.0,46214.7660740694,0.022671678998251104,under_committed
arn:aws:rds:eu-central-1:559750980952:ri:ri-2024-12-03-10-40-13-420,reserved_instance,rds,AmazonRDS,1,2089.3200000003,1492.6080000000002,0.0,1492.6080000000002,1.0,0.0,42424.9680720351,0.022311949348046544,under_committed
arn:aws:savingsplans::559750980952:savingsplan/4b0ebb17-590f-a713-6516-f67ec77f1962,savings_plan,compute,"AmazonEC2, AmazonECS",2,1336.9906185918,761.0313600000001,0.0,761.0313600000001,1.0,0.0,60577.671838513204,0.01427778749106378,under_committed
arn:aws:elasticache:eu-central-1:559750980952:reserved-instance:id-3b2c4092-4420-0ba5-fdb1-f8a87e2b8fef,other,elasticache,AmazonElastiCache,1,781.6320000000001,534.336,0.0,534.336,1.0,0.0,11344.012686071499,0.008347085938396136,under_committed
arn:aws:rds:eu-central-1:559750980952:ri:ri-2025-06-15-07-23-35-970,reserved_instance,rds,AmazonRDS,1,379.9040000000001,271.3088,0.04928911,271.35808911000004,0.9998183613756948,0.00018163862430509576,42424.9680720351,0.004057013193344753,under_committed
arn:aws:rds:eu-west-3:662505700522:ri:ri-2024-12-18-00-19-16-764,reserved_instance,rds,AmazonRDS,1,316.84800000000007,222.5664,0.0,222.5664,1.0,0.0,42424.9680720351,0.003383635119095609,under_committed
arn:aws:savingsplans::527480136527:savingsplan/cab8d140-aab9-763d-5f44-cfa246321d27,savings_plan,compute,AmazonEC2,1,292.78866141210005,184.07999999730004,0.0,184.07999999730004,1.0,0.0,46214.7660740694,0.003126704278477298,under_committed
arn:aws:elasticache:eu-west-3:662505700522:reserved-instance:ri-2023-07-02-22-20-36-748,other,elasticache,AmazonElastiCache,1,166.44,113.87999999999998,0.02006333,113.90006332999998,0.9998238514587839,0.0001761485412160921,11344.012686071499,0.0017774208113110169,under_committed
arn:aws:elasticache:eu-west-3:527480136527:reserved-instance:ri-2021-12-24-02-33-41-305,other,elasticache,AmazonElastiCache,1,146.328,99.69599999999998,0.73304667,100.42904666999998,0.992700850059757,0.007299149940243082,11344.012686071499,0.0015626437904200823,under_committed
arn:aws:savingsplans::527480136527:savingsplan/5904150c-b018-4c2d-9a81-9f6f355a89e1,savings_plan,compute,AmazonEC2,1,151.237747986,95.28999999999998,0.0,95.28999999999998,1.0,0.0,46214.7660740694,0.0016150752266650278,under_committed
arn:aws:savingsplans::559750980952:savingsplan/04742b4f-f47e-576f-f9d6-f681a4a2def8,savings_plan,compute,"AmazonEC2, AmazonECS",2,113.7789055421,64.73856,0.0,64.73856,1.0,0.0,60577.671838513204,0.001215050436185526,under_committed
arn:aws:rds:eu-west-3:662505700522:ri:ri-2020-12-12-17-00-30-177,reserved_instance,rds,AmazonRDS,1,91.63199999999998,63.590399999999995,0.0,63.590399999999995,1.0,0.0,42424.9680720351,0.000978542560574688,under_committed
arn:aws:savingsplans::527480136527:savingsplan/1efce2ef-7ba3-e057-7379-e60c1eda55b5,savings_plan,compute,AmazonEC2,1,65.85683582399999,41.47,0.0,41.47,1.0,0.0,46214.7660740694,0.0007032883355003034,under_committed
arn:aws:savingsplans::527480136527:savingsplan/d6db1c6b-570a-bf0e-2daf-1b95e174970f,savings_plan,compute,AmazonEC2,1,61.11099335880001,38.47999999999999,0.0,38.47999999999999,1.0,0.0,46214.7660740694,0.0006526072542406902,under_committed
arn:aws:rds:eu-west-3:527480136527:ri:ri-2024-04-06-12-21-55-317,reserved_instance,rds,AmazonRDS,1,27.397999999999996,18.985749999999992,19.15149861,38.13724860999999,0.497826945885701,0.502173054114299,42424.9680720351,0.0002925845673413797,over_committed
arn:aws:savingsplans::662505700522:savingsplan/74c6fcdb-c971-62b5-6550-7ac3bde8f89f,savings_plan,compute,AmazonEC2,1,38.906528771999994,24.584000000000003,0.0,24.584000000000003,1.0,0.0,46214.7660740694,0.00041548470280715967,under_committed
arn:aws:rds:eu-west-3:527480136527:ri:ri-2025-05-07-19-33-37-706,reserved_instance,rds,AmazonRDS,1,10.905999999999999,7.660799999999998,0.034288,7.695087999999998,0.9955441705150091,0.0044558294849909455,42424.9680720351,0.00011646570156307347,under_committed
arn:aws:rds:eu-west-3:527480136527:ri:ri-2024-12-21-18-03-25-155,reserved_instance,rds,AmazonRDS,1,10.108,7.128799999999998,0.02997133,7.158771329999999,0.9958133416171011,0.004186658382898788,42424.9680720351,0.00010794382096089737,under_committed
