commitment,billing_period,covered_on_demand_cost,consumed_commitment,unused_commitment_waste,paid_commitment,utilization
arn:aws:elasticache:eu-central-1:559750980952:reserved-instance:id-3b2c4092-4420-0ba5-fdb1-f8a87e2b8fef,2026-03,263.376,180.048,0.0,180.048,1.0
arn:aws:elasticache:eu-central-1:559750980952:reserved-instance:id-3b2c4092-4420-0ba5-fdb1-f8a87e2b8fef,2026-04,254.88,174.24,0.0,174.24,1.0
arn:aws:elasticache:eu-central-1:559750980952:reserved-instance:id-3b2c4092-4420-0ba5-fdb1-f8a87e2b8fef,2026-05,263.376,180.048,0.0,180.048,1.0
arn:aws:elasticache:eu-west-3:527480136527:reserved-instance:ri-2021-12-24-02-33-41-305,2026-03,146.328,99.696,0.73304667,100.42904666999999,0.992700850059757
arn:aws:elasticache:eu-west-3:662505700522:reserved-instance:ri-2023-07-02-22-20-36-748,2026-03,166.44,113.88,0.02006333,113.90006333,0.9998238514587839
arn:aws:rds:eu-central-1:559750980952:ri:ri-2022-02-14-20-06-54-687,2026-03,1406.6332431954,1005.8879999999999,0.0,1005.8879999999999,1.0
arn:aws:rds:eu-central-1:559750980952:ri:ri-2022-02-14-20-06-54-687,2026-04,1361.34,973.4399999999999,0.0,973.4399999999999,1.0
arn:aws:rds:eu-central-1:559750980952:ri:ri-2022-02-14-20-06-54-687,2026-05,1406.7179999999998,1005.8879999999999,0.0,1005.8879999999999,1.0
arn:aws:rds:eu-central-1:559750980952:ri:ri-2024-12-03-10-40-13-420,2026-03,704.0100000003,502.94399999999996,0.0,502.94399999999996,1.0
arn:aws:rds:eu-central-1:559750980952:ri:ri-2024-12-03-10-40-13-420,2026-04,681.3000000000001,486.71999999999997,0.0,486.71999999999997,1.0
arn:aws:rds:eu-central-1:559750980952:ri:ri-2024-12-03-10-40-13-420,2026-05,704.01,502.94399999999996,0.0,502.94399999999996,1.0
arn:aws:rds:eu-central-1:559750980952:ri:ri-2025-01-13-06-24-24-124,2026-03,0.0,0.0,675.18,675.18,0.0
arn:aws:rds:eu-central-1:559750980952:ri:ri-2025-01-13-06-24-24-124,2026-04,135.7954946895,89.87012684,563.52987316,653.4,0.1375422816651362
arn:aws:rds:eu-central-1:559750980952:ri:ri-2025-01-13-06-24-24-124,2026-05,0.0,0.0,297.95544167,297.95544167,0.0
arn:aws:rds:eu-central-1:559750980952:ri:ri-2025-06-15-07-23-35-970,2026-03,157.728,112.64160000000001,0.0,112.64160000000001,1.0
arn:aws:rds:eu-central-1:559750980952:ri:ri-2025-06-15-07-23-35-970,2026-04,152.64,109.00800000000001,0.0,109.00800000000001,1.0
arn:aws:rds:eu-central-1:559750980952:ri:ri-2025-06-15-07-23-35-970,2026-05,69.536,49.659200000000006,0.04928911,49.70848911,0.9990084367704091
arn:aws:rds:eu-central-1:559750980952:ri:ri-2025-09-08-19-50-58-286,2026-03,1007.7359611125999,677.6351999899999,0.0,677.6351999899999,1.0
arn:aws:rds:eu-central-1:559750980952:ri:ri-2025-09-08-19-50-58-286,2026-04,975.4708824646999,655.77599999,0.0,655.77599999,1.0
arn:aws:rds:eu-central-1:559750980952:ri:ri-2025-09-08-19-50-58-286,2026-05,1008.7752318754999,677.6351999899999,0.0,677.6351999899999,1.0
arn:aws:rds:eu-central-1:559750980952:ri:ri-2025-11-12-21-07-48-094,2026-03,2040.792,1350.36,0.0,1350.36,1.0
arn:aws:rds:eu-central-1:559750980952:ri:ri-2025-11-12-21-07-48-094,2026-04,1974.9615413884999,1306.8,0.0,1306.8,1.0
arn:aws:rds:eu-central-1:559750980952:ri:ri-2025-11-12-21-07-48-094,2026-05,2040.792,1350.36,0.0,1350.36,1.0
arn:aws:rds:eu-west-3:527480136527:ri:ri-2024-04-06-12-21-55-317,2026-03,27.398,18.98575,19.15149861,38.13724861,0.4978269458857011
arn:aws:rds:eu-west-3:527480136527:ri:ri-2024-12-21-18-03-25-155,2026-03,10.108,7.1288,0.02997133,7.15877133,0.9958133416171011
arn:aws:rds:eu-west-3:527480136527:ri:ri-2025-05-07-19-33-37-706,2026-03,10.906,7.6608,0.034288,7.695088,0.9955441705150091
arn:aws:rds:eu-west-3:662505700522:ri:ri-2020-12-12-17-00-30-177,2026-03,30.876,21.4272,0.0,21.4272,1.0
arn:aws:rds:eu-west-3:662505700522:ri:ri-2020-12-12-17-00-30-177,2026-04,29.880000000000003,20.736,0.0,20.736,1.0
arn:aws:rds:eu-west-3:662505700522:ri:ri-2020-12-12-17-00-30-177,2026-05,30.876,21.4272,0.0,21.4272,1.0
arn:aws:rds:eu-west-3:662505700522:ri:ri-2024-12-18-00-19-16-764,2026-03,106.764,74.9952,0.0,74.9952,1.0
arn:aws:rds:eu-west-3:662505700522:ri:ri-2024-12-18-00-19-16-764,2026-04,103.32000000000001,72.576,0.0,72.576,1.0
arn:aws:rds:eu-west-3:662505700522:ri:ri-2024-12-18-00-19-16-764,2026-05,106.764,74.9952,0.0,74.9952,1.0
arn:aws:savingsplans::417908285034:savingsplan/fa6ce1ab-3d42-0fda-9680-980310866d79,2026-03,8883.8196455076,4688.6879999995,0.0,4688.6879999995,1.0
arn:aws:savingsplans::417908285034:savingsplan/fa6ce1ab-3d42-0fda-9680-980310866d79,2026-04,8580.0489823069,4537.4399999963,0.0,4537.4399999963,1.0
arn:aws:savingsplans::417908285034:savingsplan/fa6ce1ab-3d42-0fda-9680-980310866d79,2026-05,8839.4361820922,4688.6879999837,0.0,4688.6879999837,1.0
arn:aws:savingsplans::527480136527:savingsplan/1efce2ef-7ba3-e057-7379-e60c1eda55b5,2026-03,65.85683582399999,41.47,0.0,41.47,1.0
arn:aws:savingsplans::527480136527:savingsplan/5904150c-b018-4c2d-9a81-9f6f355a89e1,2026-03,151.237747986,95.28999999999999,0.0,95.28999999999999,1.0
arn:aws:savingsplans::527480136527:savingsplan/cab8d140-aab9-763d-5f44-cfa246321d27,2026-03,292.7886614121,184.0799999973,0.0,184.0799999973,1.0
arn:aws:savingsplans::527480136527:savingsplan/d6db1c6b-570a-bf0e-2daf-1b95e174970f,2026-03,61.1109933588,38.48,0.0,38.48,1.0
arn:aws:savingsplans::559750980952:savingsplan/04742b4f-f47e-576f-f9d6-f681a4a2def8,2026-03,38.3597315871,21.81408,0.0,21.81408,1.0
arn:aws:savingsplans::559750980952:savingsplan/04742b4f-f47e-576f-f9d6-f681a4a2def8,2026-04,37.1111724181,21.1104,0.0,21.1104,1.0
arn:aws:savingsplans::559750980952:savingsplan/04742b4f-f47e-576f-f9d6-f681a4a2def8,2026-05,38.3080015369,21.81408,0.0,21.81408,1.0
arn:aws:savingsplans::559750980952:savingsplan/14ca4d5b-b9df-8430-2119-7e805f38ec7c,2026-04,1819.5127327673,1091.9880399975,0.0,1091.9880399975,1.0
arn:aws:savingsplans::559750980952:savingsplan/14ca4d5b-b9df-8430-2119-7e805f38ec7c,2026-05,3589.6509706191,2155.0108799977,0.0,2155.0108799977,1.0
arn:aws:savingsplans::559750980952:savingsplan/2697b084-02ab-5e6d-2b36-952c2292ddc0,2026-03,2468.4131375027,1337.7119999869,0.0,1337.7119999869,1.0
arn:aws:savingsplans::559750980952:savingsplan/2697b084-02ab-5e6d-2b36-952c2292ddc0,2026-04,2378.5678842629,1294.5600000019,0.0,1294.5600000019,1.0
